year,event,experiment,intensity
1939,heat,historical,0.0039033566
1940,heat,historical,0.002811483
1941,heat,historical,0.0026097824
1942,heat,historical,0.002496502
1943,heat,historical,0.0025842478
1944,heat,historical,0.003041084
1945,heat,historical,0.0027776218
1946,heat,historical,0.002876678
1947,heat,historical,0.0037147417
1948,heat,historical,0.002791005
1949,heat,historical,0.002453903
1950,heat,historical,0.002708777
1951,heat,historical,0.0035099313
1952,heat,historical,0.0034738944
1953,heat,historical,0.002487092
1954,heat,historical,0.0028735278
1955,heat,historical,0.003093936
1956,heat,historical,0.003323276
1957,heat,historical,0.0033347236
1958,heat,historical,0.003487212
1959,heat,historical,0.0027794344
1960,heat,historical,0.003232495
1961,heat,historical,0.0033904493
1962,heat,historical,0.002767807
1963,heat,historical,0.002245382
1964,heat,historical,0.0028120205
1965,heat,historical,0.0032902241
1966,heat,historical,0.0022099733
1967,heat,historical,0.0023590531
1968,heat,historical,0.0034682762
1969,heat,historical,0.0036085022
1970,heat,historical,0.0028355916
1971,heat,historical,0.0022783221
1972,heat,historical,0.0023484274
1973,heat,historical,0.0029625355
1974,heat,historical,0.0028886336
1975,heat,historical,0.0025965774
1976,heat,historical,0.0027240715
1977,heat,historical,0.0033336452
1978,heat,historical,0.0027390972
1979,heat,historical,0.0027791152
1980,heat,historical,0.0032174776
1981,heat,historical,0.0031862361
1982,heat,historical,0.002527568
1983,heat,historical,0.002160244
1984,heat,historical,0.002685994
1985,heat,historical,0.003365024
1986,heat,historical,0.0025613979
1987,heat,historical,0.0027488896
1988,heat,historical,0.0035245419
1989,heat,historical,0.0034866375
1990,heat,historical,0.0029825391
1991,heat,historical,0.0024980821
1992,heat,historical,0.0023738884
1993,heat,historical,0.0031138756
1994,heat,historical,0.0035487087
1995,heat,historical,0.0028431963
1996,heat,historical,0.0028707348
1997,heat,historical,0.0044018403
1998,heat,historical,0.003868671
1999,heat,historical,0.0028575105
2000,heat,historical,0.0029830267
2001,heat,historical,0.004001646
2002,heat,historical,0.0046528596
2003,heat,historical,0.0029443905
2004,heat,historical,0.0027667263
2005,heat,historical,0.0029781545
2006,heat,historical,0.0040739817
2007,heat,historical,0.0036829964
2008,heat,historical,0.0039820382
2009,heat,historical,0.0041263346
2010,heat,historical,0.004050362
2011,heat,historical,0.0037828784
2012,heat,historical,0.0031259118
2013,heat,historical,0.0038671927
2014,heat,historical,0.0040864106
1850,precip,historical,0.0012359442
1851,precip,historical,0.001234733
1852,precip,historical,0.0013003062
1853,precip,historical,0.0013418151
1854,precip,historical,0.0011784813
1855,precip,historical,0.001184764
1856,precip,historical,0.0012870547
1857,precip,historical,0.0013567595
1858,precip,historical,0.0013141985
1859,precip,historical,0.0012626773
1860,precip,historical,0.0010546754
1861,precip,historical,0.001205402
1862,precip,historical,0.0014473725
1863,precip,historical,0.0012222511
1864,precip,historical,0.0010583943
1865,precip,historical,0.0011479538
1866,precip,historical,0.0012342334
1867,precip,historical,0.0013843183
1868,precip,historical,0.0013741829
1869,precip,historical,0.0011378858
1870,precip,historical,0.0011598773
1871,precip,historical,0.0013288595
1872,precip,historical,0.0013923763
1873,precip,historical,0.0011686877
1874,precip,historical,0.0010415189
1875,precip,historical,0.0013131833
1876,precip,historical,0.0013833764
1877,precip,historical,0.0011462538
1878,precip,historical,0.0009832314
1879,precip,historical,0.0012679815
1880,precip,historical,0.0014100968
1881,precip,historical,0.0012871404
1882,precip,historical,0.0012731948
1883,precip,historical,0.0011258365
1884,precip,historical,0.0010948228
1885,precip,historical,0.0014559202
1886,precip,historical,0.0013637955
1887,precip,historical,0.0011721698
1888,precip,historical,0.0011307677
1889,precip,historical,0.0011507403
1890,precip,historical,0.0013772461
1891,precip,historical,0.001374978
1892,precip,historical,0.0013688494
1893,precip,historical,0.0011179189
1894,precip,historical,0.001205686
1895,precip,historical,0.0014902548
1896,precip,historical,0.0012273501
1897,precip,historical,0.0012044557
1898,precip,historical,0.0012901186
1899,precip,historical,0.0014265169
1900,precip,historical,0.0013685444
1901,precip,historical,0.0012569365
1902,precip,historical,0.0013607378
1903,precip,historical,0.0011739699
1904,precip,historical,0.0010750368
1905,precip,historical,0.0011372011
1906,precip,historical,0.0013422637
1907,precip,historical,0.0012227594
1908,precip,historical,0.0012866849
1909,precip,historical,0.0014306101
1910,precip,historical,0.0012788565
1911,precip,historical,0.0012491865
1912,precip,historical,0.0013205481
1913,precip,historical,0.0013469035
1914,precip,historical,0.001376456
1915,precip,historical,0.001135491
1916,precip,historical,0.0012018431
1917,precip,historical,0.0012823286
1918,precip,historical,0.0013501054
1919,precip,historical,0.0013685242
1920,precip,historical,0.0012343201
1921,precip,historical,0.0011467831
1922,precip,historical,0.0012550974
1923,precip,historical,0.0015215146
1924,precip,historical,0.00119903
1925,precip,historical,0.0011514821
1926,precip,historical,0.0013316228
1927,precip,historical,0.0014364696
1928,precip,historical,0.0011735847
1929,precip,historical,0.0011025211
1930,precip,historical,0.0012703326
1931,precip,historical,0.0013500272
1932,precip,historical,0.0013625801
1933,precip,historical,0.0011318846
1934,precip,historical,0.0013190899
1935,precip,historical,0.0014033712
1936,precip,historical,0.0013258504
1937,precip,historical,0.0011970806
1938,precip,historical,0.001351338
1939,precip,historical,0.001372056
1940,precip,historical,0.0012256803
1941,precip,historical,0.0012002075
1942,precip,historical,0.0012444735
1943,precip,historical,0.0012467003
1944,precip,historical,0.0012968658
1945,precip,historical,0.0012478523
1946,precip,historical,0.0013848116
1947,precip,historical,0.001477977
1948,precip,historical,0.0011808756
1949,precip,historical,0.0011222877
1950,precip,historical,0.0012181691
1951,precip,historical,0.0014783877
1952,precip,historical,0.0013501659
1953,precip,historical,0.0011977772
1954,precip,historical,0.0012229412
1955,precip,historical,0.0013616877
1956,precip,historical,0.001322672
1957,precip,historical,0.0013845535
1958,precip,historical,0.0012439878
1959,precip,historical,0.0012757599
1960,precip,historical,0.0014357414
1961,precip,historical,0.0013208919
1962,precip,historical,0.0011355338
1963,precip,historical,0.0011401313
1964,precip,historical,0.0012828335
1965,precip,historical,0.0014707091
1966,precip,historical,0.0011349581
1967,precip,historical,0.0011859605
1968,precip,historical,0.0014242363
1969,precip,historical,0.0014083518
1970,precip,historical,0.0011741766
1971,precip,historical,0.0011186908
1972,precip,historical,0.001365542
1973,precip,historical,0.0013752016
1974,precip,historical,0.0012200644
1975,precip,historical,0.0012136267
1976,precip,historical,0.0013289474
1977,precip,historical,0.0013713952
1978,precip,historical,0.0012087063
1979,precip,historical,0.0011607347
1980,precip,historical,0.0014666184
1981,precip,historical,0.001311423
1982,precip,historical,0.0010878645
1983,precip,historical,0.0011416151
1984,precip,historical,0.0012827464
1985,precip,historical,0.0013756093
1986,precip,historical,0.0011949998
1987,precip,historical,0.001259419
1988,precip,historical,0.0014022618
1989,precip,historical,0.001298837
1990,precip,historical,0.0011843732
1991,precip,historical,0.0012345203
1992,precip,historical,0.0011581056
1993,precip,historical,0.0013867769
1994,precip,historical,0.0013659141
1995,precip,historical,0.0010733973
1996,precip,historical,0.0013087823
1997,precip,historical,0.0013764817
1998,precip,historical,0.0014067816
1999,precip,historical,0.0011508688
2000,precip,historical,0.0013074073
2001,precip,historical,0.0014914525
2002,precip,historical,0.0015400009
2003,precip,historical,0.0011207215
2004,precip,historical,0.0011631954
2005,precip,historical,0.0012870397
2006,precip,historical,0.00153615
2007,precip,historical,0.0013776988
2008,precip,historical,0.0013758524
2009,precip,historical,0.0014398743
2010,precip,historical,0.0014302781
2011,precip,historical,0.001303845
2012,precip,historical,0.0011138645
2013,precip,historical,0.0013759098
2014,precip,historical,0.0014752859
1850,drought,historical,0.5949869
1851,drought,historical,0.5960234
1852,drought,historical,0.59386927
1853,drought,historical,0.5951874
1854,drought,historical,0.59472406
1855,drought,historical,0.5947557
1856,drought,historical,0.59252334
1857,drought,historical,0.5927777
1858,drought,historical,0.5936008
1859,drought,historical,0.5956828
1860,drought,historical,0.5942438
1861,drought,historical,0.5944827
1862,drought,historical,0.5946301
1863,drought,historical,0.593343
1864,drought,historical,0.5952876
1865,drought,historical,0.5947821
1866,drought,historical,0.5940493
1867,drought,historical,0.5946254
1868,drought,historical,0.59403723
1869,drought,historical,0.59381646
1870,drought,historical,0.5949119
1871,drought,historical,0.5931498
1872,drought,historical,0.59576344
1873,drought,historical,0.59321904
1874,drought,historical,0.5942581
1875,drought,historical,0.5936199
1876,drought,historical,0.59487367
1877,drought,historical,0.5938656
1878,drought,historical,0.59484416
1879,drought,historical,0.5937911
1880,drought,historical,0.5927061
1881,drought,historical,0.5941738
1882,drought,historical,0.59486157
1883,drought,historical,0.59376574
1884,drought,historical,0.5937854
1885,drought,historical,0.59528387
1886,drought,historical,0.5954268
1887,drought,historical,0.5949927
1888,drought,historical,0.59550667
1889,drought,historical,0.5926323
1890,drought,historical,0.5931625
1891,drought,historical,0.5943554
1892,drought,historical,0.59455997
1893,drought,historical,0.5942362
1894,drought,historical,0.5936655
1895,drought,historical,0.59417677
1896,drought,historical,0.5940772
1897,drought,historical,0.5960958
1898,drought,historical,0.5946776
1899,drought,historical,0.5949108
1900,drought,historical,0.59370166
1901,drought,historical,0.59459597
1902,drought,historical,0.5927266
1903,drought,historical,0.5943329
1904,drought,historical,0.5953352
1905,drought,historical,0.594202
1906,drought,historical,0.5946912
1907,drought,historical,0.5948108
1908,drought,historical,0.59330046
1909,drought,historical,0.5958618
1910,drought,historical,0.59652597
1911,drought,historical,0.59482956
1912,drought,historical,0.5944747
1913,drought,historical,0.59601796
1914,drought,historical,0.59580815
1915,drought,historical,0.59436727
1916,drought,historical,0.5946303
1917,drought,historical,0.5940145
1918,drought,historical,0.5937354
1919,drought,historical,0.59333456
1920,drought,historical,0.5947475
1921,drought,historical,0.5941673
1922,drought,historical,0.5939887
1923,drought,historical,0.59514886
1924,drought,historical,0.5944424
1925,drought,historical,0.595126
1926,drought,historical,0.59577036
1927,drought,historical,0.59385514
1928,drought,historical,0.59314436
1929,drought,historical,0.5934108
1930,drought,historical,0.5930335
1931,drought,historical,0.59154445
1932,drought,historical,0.5938105
1933,drought,historical,0.5940385
1934,drought,historical,0.59430414
1935,drought,historical,0.5939267
1936,drought,historical,0.59413797
1937,drought,historical,0.5937183
1938,drought,historical,0.5920685
1939,drought,historical,0.5924131
1940,drought,historical,0.59325534
1941,drought,historical,0.5947308
1942,drought,historical,0.59372306
1943,drought,historical,0.5935275
1944,drought,historical,0.59328943
1945,drought,historical,0.5938433
1946,drought,historical,0.5921514
1947,drought,historical,0.5923181
1948,drought,historical,0.5928327
1949,drought,historical,0.5950312
1950,drought,historical,0.59399796
1951,drought,historical,0.59425247
1952,drought,historical,0.59305346
1953,drought,historical,0.5931545
1954,drought,historical,0.5944941
1955,drought,historical,0.59289104
1956,drought,historical,0.5940823
1957,drought,historical,0.5941368
1958,drought,historical,0.59396404
1959,drought,historical,0.5928246
1960,drought,historical,0.59326094
1961,drought,historical,0.5940684
1962,drought,historical,0.59297174
1963,drought,historical,0.5945596
1964,drought,historical,0.5946551
1965,drought,historical,0.5967137
1966,drought,historical,0.59509254
1967,drought,historical,0.5946245
1968,drought,historical,0.59345263
1969,drought,historical,0.59354514
1970,drought,historical,0.5942813
1971,drought,historical,0.5932612
1972,drought,historical,0.593488
1973,drought,historical,0.59360844
1974,drought,historical,0.59527665
1975,drought,historical,0.59427303
1976,drought,historical,0.5934812
1977,drought,historical,0.5923101
1978,drought,historical,0.59357023
1979,drought,historical,0.5927305
1980,drought,historical,0.59314054
1981,drought,historical,0.5924898
1982,drought,historical,0.5931098
1983,drought,historical,0.5944055
1984,drought,historical,0.5935953
1985,drought,historical,0.5942425
1986,drought,historical,0.595399
1987,drought,historical,0.59470826
1988,drought,historical,0.59469956
1989,drought,historical,0.5939655
1990,drought,historical,0.59436786
1991,drought,historical,0.59266955
1992,drought,historical,0.5926413
1993,drought,historical,0.592984
1994,drought,historical,0.5930715
1995,drought,historical,0.5921854
1996,drought,historical,0.59232545
1997,drought,historical,0.59027904
1998,drought,historical,0.5930897
1999,drought,historical,0.5921391
2000,drought,historical,0.5921245
2001,drought,historical,0.5915376
2002,drought,historical,0.5937943
2003,drought,historical,0.5932009
2004,drought,historical,0.5916327
2005,drought,historical,0.59237874
2006,drought,historical,0.5927983
2007,drought,historical,0.5922506
2008,drought,historical,0.5933723
2009,drought,historical,0.59401613
2010,drought,historical,0.5903564
2011,drought,historical,0.5929269
2012,drought,historical,0.59166956
2013,drought,historical,0.5922016
2014,drought,historical,0.5912698
1850,marine_hw,historical,0.01450092
1851,marine_hw,historical,0.015116225
1852,marine_hw,historical,0.019122973
1853,marine_hw,historical,0.018670818
1854,marine_hw,historical,0.013107781
1855,marine_hw,historical,0.0102036055
1856,marine_hw,historical,0.018058086
1857,marine_hw,historical,0.021785792
1858,marine_hw,historical,0.01821175
1859,marine_hw,historical,0.0132728005
1860,marine_hw,historical,0.0071685766
1861,marine_hw,historical,0.011851426
1862,marine_hw,historical,0.0209574
1863,marine_hw,historical,0.0175383
1864,marine_hw,historical,0.008924739
1865,marine_hw,historical,0.010837454
1866,marine_hw,historical,0.014997484
1867,marine_hw,historical,0.020465784
1868,marine_hw,historical,0.021576503
1869,marine_hw,historical,0.011432769
1870,marine_hw,historical,0.011738872
1871,marine_hw,historical,0.019479383
1872,marine_hw,historical,0.024235485
1873,marine_hw,historical,0.014736811
1874,marine_hw,historical,0.008548732
1875,marine_hw,historical,0.014034707
1876,marine_hw,historical,0.020611111
1877,marine_hw,historical,0.012288404
1878,marine_hw,historical,0.006996076
1879,marine_hw,historical,0.012424107
1880,marine_hw,historical,0.02316494
1881,marine_hw,historical,0.021563822
1882,marine_hw,historical,0.012615807
1883,marine_hw,historical,0.009337887
1884,marine_hw,historical,0.010300946
1885,marine_hw,historical,0.018135417
1886,marine_hw,historical,0.0215652
1887,marine_hw,historical,0.012144917
1888,marine_hw,historical,0.007883287
1889,marine_hw,historical,0.01180436
1890,marine_hw,historical,0.021377688
1891,marine_hw,historical,0.02188916
1892,marine_hw,historical,0.019663706
1893,marine_hw,historical,0.012274694
1894,marine_hw,historical,0.013884877
1895,marine_hw,historical,0.023314048
1896,marine_hw,historical,0.016556706
1897,marine_hw,historical,0.012576806
1898,marine_hw,historical,0.014666664
1899,marine_hw,historical,0.020664737
1900,marine_hw,historical,0.018993758
1901,marine_hw,historical,0.018084792
1902,marine_hw,historical,0.020577652
1903,marine_hw,historical,0.012632657
1904,marine_hw,historical,0.0092323525
1905,marine_hw,historical,0.011139293
1906,marine_hw,historical,0.015940687
1907,marine_hw,historical,0.014191145
1908,marine_hw,historical,0.013937098
1909,marine_hw,historical,0.020468997
1910,marine_hw,historical,0.016413834
1911,marine_hw,historical,0.016437313
1912,marine_hw,historical,0.017938826
1913,marine_hw,historical,0.017901376
1914,marine_hw,historical,0.02064741
1915,marine_hw,historical,0.01601245
1916,marine_hw,historical,0.012468045
1917,marine_hw,historical,0.015986046
1918,marine_hw,historical,0.018356612
1919,marine_hw,historical,0.023818
1920,marine_hw,historical,0.017398814
1921,marine_hw,historical,0.012500476
1922,marine_hw,historical,0.013968018
1923,marine_hw,historical,0.023502728
1924,marine_hw,historical,0.014704939
1925,marine_hw,historical,0.013334353
1926,marine_hw,historical,0.018354708
1927,marine_hw,historical,0.023298211
1928,marine_hw,historical,0.016095158
1929,marine_hw,historical,0.01239131
1930,marine_hw,historical,0.018274527
1931,marine_hw,historical,0.025034929
1932,marine_hw,historical,0.02205772
1933,marine_hw,historical,0.01379001
1934,marine_hw,historical,0.015091765
1935,marine_hw,historical,0.023423707
1936,marine_hw,historical,0.02021407
1937,marine_hw,historical,0.014740505
1938,marine_hw,historical,0.022505265
1939,marine_hw,historical,0.025736386
1940,marine_hw,historical,0.01654763
1941,marine_hw,historical,0.012921118
1942,marine_hw,historical,0.01601377
1943,marine_hw,historical,0.017155023
1944,marine_hw,historical,0.02343074
1945,marine_hw,historical,0.01929091
1946,marine_hw,historical,0.022367174
1947,marine_hw,historical,0.026038706
1948,marine_hw,historical,0.016281864
1949,marine_hw,historical,0.011118425
1950,marine_hw,historical,0.014498354
1951,marine_hw,historical,0.025356095
1952,marine_hw,historical,0.024070676
1953,marine_hw,historical,0.014289158
1954,marine_hw,historical,0.015616297
1955,marine_hw,historical,0.022455832
1956,marine_hw,historical,0.022800893
1957,marine_hw,historical,0.02464764
1958,marine_hw,historical,0.018627517
1959,marine_hw,historical,0.017650302
1960,marine_hw,historical,0.02408483
1961,marine_hw,historical,0.026107617
1962,marine_hw,historical,0.015447916
1963,marine_hw,historical,0.0076977145
1964,marine_hw,historical,0.01551936
1965,marine_hw,historical,0.02099213
1966,marine_hw,historical,0.010908701
1967,marine_hw,historical,0.013922731
1968,marine_hw,historical,0.024163965
1969,marine_hw,historical,0.025369937
1970,marine_hw,historical,0.016077647
1971,marine_hw,historical,0.011239147
1972,marine_hw,historical,0.014578355
1973,marine_hw,historical,0.023818891
1974,marine_hw,historical,0.017939482
1975,marine_hw,historical,0.014979686
1976,marine_hw,historical,0.01837368
1977,marine_hw,historical,0.025386313
1978,marine_hw,historical,0.019935539
1979,marine_hw,historical,0.018908162
1980,marine_hw,historical,0.025455505
1981,marine_hw,historical,0.02327592
1982,marine_hw,historical,0.013784828
1983,marine_hw,historical,0.010124141
1984,marine_hw,historical,0.021299133
1985,marine_hw,historical,0.02425083
1986,marine_hw,historical,0.014914304
1987,marine_hw,historical,0.017172113
1988,marine_hw,historical,0.025868969
1989,marine_hw,historical,0.022271043
1990,marine_hw,historical,0.018653043
1991,marine_hw,historical,0.01758304
1992,marine_hw,historical,0.014641776
1993,marine_hw,historical,0.025598755
1994,marine_hw,historical,0.026425142
1995,marine_hw,historical,0.016768811
1996,marine_hw,historical,0.020360796
1997,marine_hw,historical,0.03252629
1998,marine_hw,historical,0.026238294
1999,marine_hw,historical,0.016832571
2000,marine_hw,historical,0.022502348
2001,marine_hw,historical,0.030228488
2002,marine_hw,historical,0.033487864
2003,marine_hw,historical,0.019430187
2004,marine_hw,historical,0.015863294
2005,marine_hw,historical,0.021090703
2006,marine_hw,historical,0.03216872
2007,marine_hw,historical,0.030569116
2008,marine_hw,historical,0.029822636
2009,marine_hw,historical,0.031293847
2010,marine_hw,historical,0.035021603
2011,marine_hw,historical,0.029270537
2012,marine_hw,historical,0.020988282
2013,marine_hw,historical,0.027637761
2014,marine_hw,historical,0.036850117
1850,cyclone,historical,0.12591329
1851,cyclone,historical,0.12572417
1852,cyclone,historical,0.13171247
1853,cyclone,historical,0.12896612
1854,cyclone,historical,0.12432288
1855,cyclone,historical,0.12513712
1856,cyclone,historical,0.13169087
1857,cyclone,historical,0.13632622
1858,cyclone,historical,0.1297282
1859,cyclone,historical,0.12721911
1860,cyclone,historical,0.11514309
1861,cyclone,historical,0.12400094
1862,cyclone,historical,0.13289471
1863,cyclone,historical,0.13126646
1864,cyclone,historical,0.1165779
1865,cyclone,historical,0.11736305
1866,cyclone,historical,0.12677492
1867,cyclone,historical,0.12804866
1868,cyclone,historical,0.13409796
1869,cyclone,historical,0.12493556
1870,cyclone,historical,0.12141851
1871,cyclone,historical,0.13056836
1872,cyclone,historical,0.1348038
1873,cyclone,historical,0.13001317
1874,cyclone,historical,0.118364066
1875,cyclone,historical,0.12477709
1876,cyclone,historical,0.13379242
1877,cyclone,historical,0.122971065
1878,cyclone,historical,0.116305456
1879,cyclone,historical,0.120753154
1880,cyclone,historical,0.13613087
1881,cyclone,historical,0.136309
1882,cyclone,historical,0.1287145
1883,cyclone,historical,0.124752395
1884,cyclone,historical,0.12119746
1885,cyclone,historical,0.12931676
1886,cyclone,historical,0.13611177
1887,cyclone,historical,0.12396315
1888,cyclone,historical,0.11543524
1889,cyclone,historical,0.12191472
1890,cyclone,historical,0.13473567
1891,cyclone,historical,0.13544385
1892,cyclone,historical,0.13416861
1893,cyclone,historical,0.122487724
1894,cyclone,historical,0.12600794
1895,cyclone,historical,0.13358743
1896,cyclone,historical,0.124653645
1897,cyclone,historical,0.12082338
1898,cyclone,historical,0.12775792
1899,cyclone,historical,0.13489588
1900,cyclone,historical,0.1334485
1901,cyclone,historical,0.12846863
1902,cyclone,historical,0.13145696
1903,cyclone,historical,0.1258245
1904,cyclone,historical,0.11657897
1905,cyclone,historical,0.1233157
1906,cyclone,historical,0.12372209
1907,cyclone,historical,0.12710966
1908,cyclone,historical,0.1295349
1909,cyclone,historical,0.1320573
1910,cyclone,historical,0.12401702
1911,cyclone,historical,0.12849955
1912,cyclone,historical,0.13029726
1913,cyclone,historical,0.12557168
1914,cyclone,historical,0.13004182
1915,cyclone,historical,0.12654549
1916,cyclone,historical,0.12348258
1917,cyclone,historical,0.1290812
1918,cyclone,historical,0.1297545
1919,cyclone,historical,0.13441198
1920,cyclone,historical,0.124160245
1921,cyclone,historical,0.122954674
1922,cyclone,historical,0.12245986
1923,cyclone,historical,0.13680443
1924,cyclone,historical,0.12997536
1925,cyclone,historical,0.12545894
1926,cyclone,historical,0.13139561
1927,cyclone,historical,0.1345221
1928,cyclone,historical,0.12953132
1929,cyclone,historical,0.12705818
1930,cyclone,historical,0.1331721
1931,cyclone,historical,0.13859548
1932,cyclone,historical,0.13644557
1933,cyclone,historical,0.123484455
1934,cyclone,historical,0.12554547
1935,cyclone,historical,0.13465604
1936,cyclone,historical,0.13301682
1937,cyclone,historical,0.12852654
1938,cyclone,historical,0.13194443
1939,cyclone,historical,0.1356712
1940,cyclone,historical,0.12788972
1941,cyclone,historical,0.12230356
1942,cyclone,historical,0.1302272
1943,cyclone,historical,0.12968758
1944,cyclone,historical,0.13813417
1945,cyclone,historical,0.13217957
1946,cyclone,historical,0.13413449
1947,cyclone,historical,0.14173268
1948,cyclone,historical,0.1327226
1949,cyclone,historical,0.124713965
1950,cyclone,historical,0.122854784
1951,cyclone,historical,0.13543162
1952,cyclone,historical,0.13780627
1953,cyclone,historical,0.13164018
1954,cyclone,historical,0.12569827
1955,cyclone,historical,0.1351591
1956,cyclone,historical,0.13270907
1957,cyclone,historical,0.13598591
1958,cyclone,historical,0.12925756
1959,cyclone,historical,0.12755829
1960,cyclone,historical,0.13312054
1961,cyclone,historical,0.14069073
1962,cyclone,historical,0.1287773
1963,cyclone,historical,0.121966526
1964,cyclone,historical,0.123562105
1965,cyclone,historical,0.13316245
1966,cyclone,historical,0.12309369
1967,cyclone,historical,0.12445517
1968,cyclone,historical,0.1313205
1969,cyclone,historical,0.13997962
1970,cyclone,historical,0.12642425
1971,cyclone,historical,0.12161367
1972,cyclone,historical,0.12959757
1973,cyclone,historical,0.13350669
1974,cyclone,historical,0.1300776
1975,cyclone,historical,0.12964591
1976,cyclone,historical,0.12929443
1977,cyclone,historical,0.13767584
1978,cyclone,historical,0.13121735
1979,cyclone,historical,0.12726642
1980,cyclone,historical,0.13905768
1981,cyclone,historical,0.13761806
1982,cyclone,historical,0.12925819
1983,cyclone,historical,0.11943685
1984,cyclone,historical,0.13371928
1985,cyclone,historical,0.13727959
1986,cyclone,historical,0.1273401
1987,cyclone,historical,0.12679629
1988,cyclone,historical,0.13657309
1989,cyclone,historical,0.13871697
1990,cyclone,historical,0.13131084
1991,cyclone,historical,0.13150948
1992,cyclone,historical,0.12620987
1993,cyclone,historical,0.13451032
1994,cyclone,historical,0.1425568
1995,cyclone,historical,0.13462897
1996,cyclone,historical,0.1329999
1997,cyclone,historical,0.14363952
1998,cyclone,historical,0.13975123
1999,cyclone,historical,0.12909964
2000,cyclone,historical,0.13237207
2001,cyclone,historical,0.1402119
2002,cyclone,historical,0.1504625
2003,cyclone,historical,0.13628115
2004,cyclone,historical,0.1318098
2005,cyclone,historical,0.12866609
2006,cyclone,historical,0.14321327
2007,cyclone,historical,0.14258036
2008,cyclone,historical,0.13944481
2009,cyclone,historical,0.14394306
2010,cyclone,historical,0.1499324
2011,cyclone,historical,0.14239405
2012,cyclone,historical,0.13598508
2013,cyclone,historical,0.14011972
2014,cyclone,historical,0.15262002
1850,wildfire,historical,0.18516889
1851,wildfire,historical,0.1853682
1852,wildfire,historical,0.18428816
1853,wildfire,historical,0.18503122
1854,wildfire,historical,0.18573111
1855,wildfire,historical,0.18539229
1856,wildfire,historical,0.18388808
1857,wildfire,historical,0.18381906
1858,wildfire,historical,0.18421322
1859,wildfire,historical,0.18688731
1860,wildfire,historical,0.18605171
1861,wildfire,historical,0.18598059
1862,wildfire,historical,0.18419167
1863,wildfire,historical,0.18510151
1864,wildfire,historical,0.18646963
1865,wildfire,historical,0.1841376
1866,wildfire,historical,0.18440017
1867,wildfire,historical,0.184051
1868,wildfire,historical,0.18513654
1869,wildfire,historical,0.18694642
1870,wildfire,historical,0.1844429
1871,wildfire,historical,0.18325429
1872,wildfire,historical,0.18547815
1873,wildfire,historical,0.18498656
1874,wildfire,historical,0.18564607
1875,wildfire,historical,0.183759
1876,wildfire,historical,0.18499647
1877,wildfire,historical,0.18565992
1878,wildfire,historical,0.18633807
